"","Terms","Counts","GeneRatio","BgRatio","pValue","FDR","foldEnrichment","geneID","geneSymbol","Category"
"11","GO:0031346~positive regulation of cell projection organization",7,"7/65","353/18669",0.000221069294055266,0.0294972946471329,5.69548921333624,"ENSG00000065320/ENSG00000111913/ENSG00000011426/ENSG00000166128/ENSG00000163171/ENSG00000198910/ENSG00000119729","NTN1/RIPOR2/ANLN/RAB8B/CDC42EP3/L1CAM/RHOQ","GO_BP"
"12","GO:0086004~regulation of cardiac muscle cell contraction",3,"3/65","34/18669",0.000223159000543219,0.0294972946471329,25.3425339366516,"ENSG00000113448/ENSG00000129682/ENSG00000184588","PDE4D/FGF13/PDE4B","GO_BP"
"13","GO:0001892~embryonic placenta development",4,"4/65","87/18669",0.000239815403635227,0.0294972946471329,13.2053050397878,"ENSG00000066468/ENSG00000084676/ENSG00000057657/ENSG00000129173","FGFR2/NCOA1/PRDM1/E2F8","GO_BP"
"14","GO:0060828~regulation of canonical Wnt signaling pathway",6,"6/65","259/18669",0.000280167371091354,0.0319991161696483,6.65363825363825,"ENSG00000122707/ENSG00000066468/ENSG00000169554/ENSG00000150457/ENSG00000150907/ENSG00000106829","RECK/FGFR2/ZEB2/LATS2/FOXO1/TLE4","GO_BP"
"15","GO:0030866~cortical actin cytoskeleton organization",3,"3/65","40/18669",0.00036300088810703,0.034210034474005,21.5411538461538,"ENSG00000082397/ENSG00000011426/ENSG00000119729","EPB41L3/ANLN/RHOQ","GO_BP"
"16","GO:1903115~regulation of actin filament-based movement",3,"3/65","40/18669",0.00036300088810703,0.034210034474005,21.5411538461538,"ENSG00000113448/ENSG00000129682/ENSG00000184588","PDE4D/FGF13/PDE4B","GO_BP"
"17","GO:0006942~regulation of striated muscle contraction",4,"4/65","97/18669",0.000363708934370285,0.034210034474005,11.8439333862014,"ENSG00000113448/ENSG00000198947/ENSG00000129682/ENSG00000184588","PDE4D/DMD/FGF13/PDE4B","GO_BP"
"18","GO:0072659~protein localization to plasma membrane",6,"6/65","285/18669",0.000466121234493244,0.0398878181933286,6.04663967611336,"ENSG00000220205/ENSG00000082397/ENSG00000206418/ENSG00000129682/ENSG00000166128/ENSG00000119729","VAMP2/EPB41L3/RAB12/FGF13/RAB8B/RHOQ","GO_BP"
"19","GO:0070252~actin-mediated cell contraction",4,"4/65","104/18669",0.000473964068588645,0.0398878181933286,11.0467455621302,"ENSG00000113448/ENSG00000129682/ENSG00000184588/ENSG00000139926","PDE4D/FGF13/PDE4B/FRMD6","GO_BP"
"20","GO:0032970~regulation of actin filament-based process",7,"7/65","406/18669",0.000513507726713712,0.0410549427507613,4.95198938992043,"ENSG00000113448/ENSG00000198121/ENSG00000129682/ENSG00000184588/ENSG00000139926/ENSG00000163171/ENSG00000119729","PDE4D/LPAR1/FGF13/PDE4B/FRMD6/CDC42EP3/RHOQ","GO_BP"
"21","GO:0060443~mammary gland morphogenesis",3,"3/65","46/18669",0.000549484490681647,0.0411481155242176,18.7314381270903,"ENSG00000065320/ENSG00000113580/ENSG00000066468","NTN1/NR3C1/FGFR2","GO_BP"
"22","GO:0120034~positive regulation of plasma membrane bounded cell projection assembly",4,"4/65","111/18669",0.000606201580901488,0.0411481155242176,10.350103950104,"ENSG00000111913/ENSG00000011426/ENSG00000163171/ENSG00000119729","RIPOR2/ANLN/CDC42EP3/RHOQ","GO_BP"
"23","GO:2001257~regulation of cation channel activity",5,"5/65","198/18669",0.000629104551769882,0.0411481155242176,7.25291375291375,"ENSG00000113448/ENSG00000220205/ENSG00000198947/ENSG00000129682/ENSG00000184588","PDE4D/VAMP2/DMD/FGF13/PDE4B","GO_BP"
"24","GO:0006198~cAMP catabolic process",2,"2/65","11/18669",0.000643341393436798,0.0411481155242176,52.220979020979,"ENSG00000113448/ENSG00000184588","PDE4D/PDE4B","GO_BP"
"25","GO:0048755~branching morphogenesis of a nerve",2,"2/65","11/18669",0.000643341393436798,0.0411481155242176,52.220979020979,"ENSG00000066468/ENSG00000129682","FGFR2/FGF13","GO_BP"
"26","GO:0043951~negative regulation of cAMP-mediated signaling",2,"2/65","12/18669",0.000770276471655843,0.0473720030068344,47.8692307692308,"ENSG00000113448/ENSG00000198121","PDE4D/LPAR1","GO_BP"
"27","GO:0060707~trophoblast giant cell differentiation",2,"2/65","13/18669",0.000908283508414455,0.0537905677761005,44.1869822485207,"ENSG00000057657/ENSG00000129173","PRDM1/E2F8","GO_BP"
"28","GO:0016055~Wnt signaling pathway",7,"7/65","455/18669",0.00100343287422507,0.0545355071448363,4.41869822485207,"ENSG00000122707/ENSG00000066468/ENSG00000169554/ENSG00000162407/ENSG00000150457/ENSG00000150907/ENSG00000106829","RECK/FGFR2/ZEB2/PLPP3/LATS2/FOXO1/TLE4","GO_BP"
"29","GO:0198738~cell-cell signaling by wnt",7,"7/65","457/18669",0.00102931384487532,0.0545355071448363,4.3993603770409,"ENSG00000122707/ENSG00000066468/ENSG00000169554/ENSG00000162407/ENSG00000150457/ENSG00000150907/ENSG00000106829","RECK/FGFR2/ZEB2/PLPP3/LATS2/FOXO1/TLE4","GO_BP"
"30","GO:0055057~neuroblast division",2,"2/65","14/18669",0.00105728625484048,0.0545355071448363,41.0307692307692,"ENSG00000066468/ENSG00000129682","FGFR2/FGF13","GO_BP"
"31","GO:1901077~regulation of relaxation of muscle",2,"2/65","14/18669",0.00105728625484048,0.0545355071448363,41.0307692307692,"ENSG00000113448/ENSG00000184588","PDE4D/PDE4B","GO_BP"
"32","GO:1990778~protein localization to cell periphery",6,"6/65","337/18669",0.0011163503149745,0.0549214140654453,5.1136270257932,"ENSG00000220205/ENSG00000082397/ENSG00000206418/ENSG00000129682/ENSG00000166128/ENSG00000119729","VAMP2/EPB41L3/RAB12/FGF13/RAB8B/RHOQ","GO_BP"
"33","GO:0001933~negative regulation of protein phosphorylation",6,"6/65","338/18669",0.00113346257921182,0.0549214140654453,5.09849795175239,"ENSG00000113448/ENSG00000198947/ENSG00000162407/ENSG00000101255/ENSG00000162999/ENSG00000150457","PDE4D/DMD/PLPP3/TRIB3/DUSP19/LATS2","GO_BP"
"34","GO:0009214~cyclic nucleotide catabolic process",2,"2/65","15/18669",0.00121720884462559,0.0557526961754433,38.2953846153846,"ENSG00000113448/ENSG00000184588","PDE4D/PDE4B","GO_BP"
"35","GO:0030048~actin filament-based movement",4,"4/65","134/18669",0.00122438403985173,0.0557526961754433,8.5735935706085,"ENSG00000113448/ENSG00000129682/ENSG00000184588/ENSG00000139926","PDE4D/FGF13/PDE4B/FRMD6","GO_BP"
"36","GO:0030865~cortical cytoskeleton organization",3,"3/65","61/18669",0.00125522017655782,0.0557526961754433,14.1253467843632,"ENSG00000082397/ENSG00000011426/ENSG00000119729","EPB41L3/ANLN/RHOQ","GO_BP"
"37","GO:0007266~Rho protein signal transduction",4,"4/65","140/18669",0.00143913068105379,0.0605571041843423,8.20615384615385,"ENSG00000065320/ENSG00000198121/ENSG00000111913/ENSG00000163171","NTN1/LPAR1/RIPOR2/CDC42EP3","GO_BP"
"38","GO:0060048~cardiac muscle contraction",4,"4/65","140/18669",0.00143913068105379,0.0605571041843423,8.20615384615385,"ENSG00000113448/ENSG00000198947/ENSG00000129682/ENSG00000184588","PDE4D/DMD/FGF13/PDE4B","GO_BP"
"39","GO:0007096~regulation of exit from mitosis",2,"2/65","17/18669",0.0015695119918256,0.0627412418732285,33.7900452488688,"ENSG00000011426/ENSG00000079335","ANLN/CDC14A","GO_BP"
"40","GO:0055119~relaxation of cardiac muscle",2,"2/65","17/18669",0.0015695119918256,0.0627412418732285,33.7900452488688,"ENSG00000113448/ENSG00000184588","PDE4D/PDE4B","GO_BP"
"41","GO:0048278~vesicle docking",3,"3/65","68/18669",0.00171787178716993,0.0666195452741604,12.6712669683258,"ENSG00000206418/ENSG00000105971/ENSG00000166128","RAB12/CAV2/RAB8B","GO_BP"
"42","GO:0086103~G protein-coupled receptor signaling pathway involved in heart process",2,"2/65","18/18669",0.00176174271441657,0.0666195452741604,31.9128205128205,"ENSG00000113448/ENSG00000184588","PDE4D/PDE4B","GO_BP"
"43","GO:0061180~mammary gland epithelium development",3,"3/65","69/18669",0.00179151997923008,0.0666195452741604,12.4876254180602,"ENSG00000065320/ENSG00000113580/ENSG00000066468","NTN1/NR3C1/FGFR2","GO_BP"
"44","GO:0001890~placenta development",4,"4/65","150/18669",0.00185335031351713,0.067352435257134,7.65907692307692,"ENSG00000066468/ENSG00000084676/ENSG00000057657/ENSG00000129173","FGFR2/NCOA1/PRDM1/E2F8","GO_BP"
"45","GO:0090257~regulation of muscle system process",5,"5/65","256/18669",0.00197070829663888,0.0700258348072348,5.60967548076923,"ENSG00000113448/ENSG00000198947/ENSG00000129682/ENSG00000184588/ENSG00000150907","PDE4D/DMD/FGF13/PDE4B/FOXO1","GO_BP"
"46","GO:0008360~regulation of cell shape",4,"4/65","154/18669",0.00204001496776623,0.0708010795728813,7.46013986013986,"ENSG00000198121/ENSG00000082397/ENSG00000163171/ENSG00000119729","LPAR1/EPB41L3/CDC42EP3/RHOQ","GO_BP"
"47","GO:0042326~negative regulation of phosphorylation",6,"6/65","381/18669",0.00208108238894648,0.0708010795728813,4.52307692307692,"ENSG00000113448/ENSG00000198947/ENSG00000162407/ENSG00000101255/ENSG00000162999/ENSG00000150457","PDE4D/DMD/PLPP3/TRIB3/DUSP19/LATS2","GO_BP"
"48","GO:0007189~adenylate cyclase-activating G protein-coupled receptor signaling pathway",4,"4/65","158/18669",0.0022393132082835,0.0745971212509441,7.27127555988315,"ENSG00000113448/ENSG00000198121/ENSG00000117114/ENSG00000184588","PDE4D/LPAR1/ADGRL2/PDE4B","GO_BP"
"49","GO:0086003~cardiac muscle cell contraction",3,"3/65","76/18669",0.00236254293402537,0.0768114944209874,11.3374493927126,"ENSG00000113448/ENSG00000129682/ENSG00000184588","PDE4D/FGF13/PDE4B","GO_BP"
"50","GO:0006670~sphingosine metabolic process",2,"2/65","21/18669",0.00240186036338297,0.0768114944209874,27.3538461538462,"ENSG00000162407/ENSG00000126821","PLPP3/SGPP1","GO_BP"
"51","GO:0071560~cellular response to transforming growth factor beta stimulus",5,"5/65","271/18669",0.00252299852209543,0.0791034242515803,5.29917683792223,"ENSG00000113580/ENSG00000066468/ENSG00000169554/ENSG00000105971/ENSG00000150457","NR3C1/FGFR2/ZEB2/CAV2/LATS2","GO_BP"
"52","GO:0060713~labyrinthine layer morphogenesis",2,"2/65","22/18669",0.00263612938570116,0.0795864774326402,26.1104895104895,"ENSG00000066468/ENSG00000084676","FGFR2/NCOA1","GO_BP"
"53","GO:0048844~artery morphogenesis",3,"3/65","79/18669",0.00263795078419633,0.0795864774326402,10.9069133398247,"ENSG00000065534/ENSG00000117020/ENSG00000057657","MYLK/AKT3/PRDM1","GO_BP"
"54","GO:0071559~response to transforming growth factor beta",5,"5/65","277/18669",0.0027727012049465,0.0821027634575823,5.18439322410442,"ENSG00000113580/ENSG00000066468/ENSG00000169554/ENSG00000105971/ENSG00000150457","NR3C1/FGFR2/ZEB2/CAV2/LATS2","GO_BP"
"55","GO:0046519~sphingoid metabolic process",2,"2/65","23/18669",0.00288072489381749,0.083750529185712,24.9752508361204,"ENSG00000162407/ENSG00000126821","PLPP3/SGPP1","GO_BP"
"56","GO:0032412~regulation of ion transmembrane transporter activity",5,"5/65","281/18669",0.00294883867258011,0.08419987566885,5.11059403230222,"ENSG00000113448/ENSG00000220205/ENSG00000198947/ENSG00000129682/ENSG00000184588","PDE4D/VAMP2/DMD/FGF13/PDE4B","GO_BP"
"57","GO:0060706~cell differentiation involved in embryonic placenta development",2,"2/65","24/18669",0.00313557439000115,0.0874300992941273,23.9346153846154,"ENSG00000057657/ENSG00000129173","PRDM1/E2F8","GO_BP"
"58","GO:0006937~regulation of muscle contraction",4,"4/65","174/18669",0.00317132317639736,0.0874300992941273,6.6026525198939,"ENSG00000113448/ENSG00000198947/ENSG00000129682/ENSG00000184588","PDE4D/DMD/FGF13/PDE4B","GO_BP"
"59","GO:0140056~organelle localization by membrane tethering",3,"3/65","86/18669",0.00335540777994283,0.0883193219688167,10.0191413237925,"ENSG00000206418/ENSG00000105971/ENSG00000166128","RAB12/CAV2/RAB8B","GO_BP"
"60","GO:0046058~cAMP metabolic process",2,"2/65","25/18669",0.00340060574265201,0.0883193219688167,22.9772307692308,"ENSG00000113448/ENSG00000184588","PDE4D/PDE4B","GO_BP"
"61","GO:0001558~regulation of cell growth",6,"6/65","421/18669",0.00341406181066444,0.0883193219688167,4.09333089713137,"ENSG00000065320/ENSG00000082397/ENSG00000129682/ENSG00000179833/ENSG00000137692/ENSG00000198910","NTN1/EPB41L3/FGF13/SERTAD2/DCUN1D5/L1CAM","GO_BP"
"62","GO:0022898~regulation of transmembrane transporter activity",5,"5/65","291/18669",0.00342451404757138,0.0883193219688167,4.9349722442506,"ENSG00000113448/ENSG00000220205/ENSG00000198947/ENSG00000129682/ENSG00000184588","PDE4D/VAMP2/DMD/FGF13/PDE4B","GO_BP"
"63","GO:0010959~regulation of metal ion transport",6,"6/65","423/18669",0.00349426767312377,0.0886878414178556,4.07397708674304,"ENSG00000113448/ENSG00000220205/ENSG00000198947/ENSG00000065534/ENSG00000129682/ENSG00000184588","PDE4D/VAMP2/DMD/MYLK/FGF13/PDE4B","GO_BP"
"64","GO:0006941~striated muscle contraction",4,"4/65","181/18669",0.00365161649186958,0.0890533295200758,6.34730131746706,"ENSG00000113448/ENSG00000198947/ENSG00000129682/ENSG00000184588","PDE4D/DMD/FGF13/PDE4B","GO_BP"
"65","GO:0060314~regulation of ryanodine-sensitive calcium-release channel activity",2,"2/65","26/18669",0.00367574718469356,0.0890533295200758,22.0934911242604,"ENSG00000113448/ENSG00000198947","PDE4D/DMD","GO_BP"
"66","GO:0060669~embryonic placenta morphogenesis",2,"2/65","26/18669",0.00367574718469356,0.0890533295200758,22.0934911242604,"ENSG00000066468/ENSG00000084676","FGFR2/NCOA1","GO_BP"
"67","GO:0008361~regulation of cell size",4,"4/65","184/18669",0.00387179992147372,0.0924031055886041,6.2438127090301,"ENSG00000065320/ENSG00000117020/ENSG00000129682/ENSG00000198910","NTN1/AKT3/FGF13/L1CAM","GO_BP"
"68","GO:0071880~adenylate cyclase-activating adrenergic receptor signaling pathway",2,"2/65","27/18669",0.00396092731197228,0.0931400407624071,21.2752136752137,"ENSG00000113448/ENSG00000184588","PDE4D/PDE4B","GO_BP"
"69","GO:0045936~negative regulation of phosphate metabolic process",6,"6/65","440/18669",0.00423406135191909,0.0977885958578756,3.91657342657343,"ENSG00000113448/ENSG00000198947/ENSG00000162407/ENSG00000101255/ENSG00000162999/ENSG00000150457","PDE4D/DMD/PLPP3/TRIB3/DUSP19/LATS2","GO_BP"
"70","GO:0010563~negative regulation of phosphorus metabolic process",6,"6/65","441/18669",0.00428092664793702,0.0977885958578756,3.90769230769231,"ENSG00000113448/ENSG00000198947/ENSG00000162407/ENSG00000101255/ENSG00000162999/ENSG00000150457","PDE4D/DMD/PLPP3/TRIB3/DUSP19/LATS2","GO_BP"
"71","GO:0022406~membrane docking",3,"3/65","95/18669",0.00443857365550778,0.0999072681819688,9.06995951417004,"ENSG00000206418/ENSG00000105971/ENSG00000166128","RAB12/CAV2/RAB8B","GO_BP"
"72","GO:0010458~exit from mitosis",2,"2/65","29/18669",0.004561119810684,0.0999072681819688,19.8079575596817,"ENSG00000011426/ENSG00000079335","ANLN/CDC14A","GO_BP"
"73","GO:0043949~regulation of cAMP-mediated signaling",2,"2/65","29/18669",0.004561119810684,0.0999072681819688,19.8079575596817,"ENSG00000113448/ENSG00000198121","PDE4D/LPAR1","GO_BP"
"74","GO:0120032~regulation of plasma membrane bounded cell projection assembly",4,"4/65","199/18669",0.00510871749523385,0.103631556212381,5.77317356010823,"ENSG00000111913/ENSG00000011426/ENSG00000163171/ENSG00000119729","RIPOR2/ANLN/CDC42EP3/RHOQ","GO_BP"
"75","GO:0003012~muscle system process",6,"6/65","458/18669",0.00513794553402941,0.103631556212381,3.76264696002687,"ENSG00000113448/ENSG00000198947/ENSG00000065534/ENSG00000129682/ENSG00000184588/ENSG00000150907","PDE4D/DMD/MYLK/FGF13/PDE4B/FOXO1","GO_BP"
"76","GO:0010880~regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum",2,"2/65","31/18669",0.00520061920360358,0.103631556212381,18.5300248138958,"ENSG00000113448/ENSG00000198947","PDE4D/DMD","GO_BP"
"77","GO:0033137~negative regulation of peptidyl-serine phosphorylation",2,"2/65","31/18669",0.00520061920360358,0.103631556212381,18.5300248138958,"ENSG00000113448/ENSG00000198947","PDE4D/DMD","GO_BP"
"78","GO:0034311~diol metabolic process",2,"2/65","31/18669",0.00520061920360358,0.103631556212381,18.5300248138958,"ENSG00000162407/ENSG00000126821","PLPP3/SGPP1","GO_BP"
"79","GO:0051491~positive regulation of filopodium assembly",2,"2/65","31/18669",0.00520061920360358,0.103631556212381,18.5300248138958,"ENSG00000111913/ENSG00000119729","RIPOR2/RHOQ","GO_BP"
"80","GO:0060491~regulation of cell projection assembly",4,"4/65","201/18669",0.00529144376210441,0.103631556212381,5.71572904707233,"ENSG00000111913/ENSG00000011426/ENSG00000163171/ENSG00000119729","RIPOR2/ANLN/CDC42EP3/RHOQ","GO_BP"
"81","GO:1903828~negative regulation of protein localization",4,"4/65","203/18669",0.00547850722962978,0.103631556212381,5.65941644562334,"ENSG00000111913/ENSG00000150457/ENSG00000150907/ENSG00000119729","RIPOR2/LATS2/FOXO1/RHOQ","GO_BP"
"82","GO:0032409~regulation of transporter activity",5,"5/65","326/18669",0.00552786513551976,0.103631556212381,4.40514393581878,"ENSG00000113448/ENSG00000220205/ENSG00000198947/ENSG00000129682/ENSG00000184588","PDE4D/VAMP2/DMD/FGF13/PDE4B","GO_BP"
"83","GO:0051443~positive regulation of ubiquitin-protein transferase activity",2,"2/65","32/18669",0.00553493428584248,0.103631556212381,17.9509615384615,"ENSG00000101255/ENSG00000137692","TRIB3/DCUN1D5","GO_BP"
"84","GO:0043255~regulation of carbohydrate biosynthetic process",3,"3/65","103/18669",0.00556044059609919,0.103631556212381,8.36549663928305,"ENSG00000119938/ENSG00000113580/ENSG00000150907","PPP1R3C/NR3C1/FOXO1","GO_BP"
"85","GO:1901019~regulation of calcium ion transmembrane transporter activity",3,"3/65","103/18669",0.00556044059609919,0.103631556212381,8.36549663928305,"ENSG00000113448/ENSG00000198947/ENSG00000184588","PDE4D/DMD/PDE4B","GO_BP"
"86","GO:0031032~actomyosin structure organization",4,"4/65","204/18669",0.0055736796962256,0.103631556212381,5.6316742081448,"ENSG00000198121/ENSG00000082397/ENSG00000011426/ENSG00000139926","LPAR1/EPB41L3/ANLN/FRMD6","GO_BP"
"87","GO:0071875~adrenergic receptor signaling pathway",2,"2/65","33/18669",0.0058788671609594,0.108049524027288,17.406993006993,"ENSG00000113448/ENSG00000184588","PDE4D/PDE4B","GO_BP"
"88","GO:0048638~regulation of developmental growth",5,"5/65","333/18669",0.00603844714253633,0.109721329328586,4.31254331254331,"ENSG00000065320/ENSG00000066468/ENSG00000129682/ENSG00000150457/ENSG00000198910","NTN1/FGFR2/FGF13/LATS2/L1CAM","GO_BP"
"89","GO:0060840~artery development",3,"3/65","107/18669",0.00617950406876522,0.110199632673642,8.05276779295471,"ENSG00000065534/ENSG00000117020/ENSG00000057657","MYLK/AKT3/PRDM1","GO_BP"
"90","GO:0032743~positive regulation of interleukin-2 production",2,"2/65","34/18669",0.00623234892098541,0.110199632673642,16.8950226244344,"ENSG00000113448/ENSG00000184588","PDE4D/PDE4B","GO_BP"
"91","GO:0061387~regulation of extent of cell growth",3,"3/65","108/18669",0.00634044165476864,0.110199632673642,7.97820512820513,"ENSG00000065320/ENSG00000129682/ENSG00000198910","NTN1/FGF13/L1CAM","GO_BP"
"92","GO:0090263~positive regulation of canonical Wnt signaling pathway",3,"3/65","108/18669",0.00634044165476864,0.110199632673642,7.97820512820513,"ENSG00000122707/ENSG00000066468/ENSG00000169554","RECK/FGFR2/ZEB2","GO_BP"
"93","GO:0008016~regulation of heart contraction",4,"4/65","214/18669",0.00658690169684932,0.111009497918659,5.36851186196981,"ENSG00000113448/ENSG00000198947/ENSG00000129682/ENSG00000184588","PDE4D/DMD/FGF13/PDE4B","GO_BP"
"94","GO:0014808~release of sequestered calcium ion into cytosol by sarcoplasmic reticulum",2,"2/65","35/18669",0.00659531100830058,0.111009497918659,16.4123076923077,"ENSG00000113448/ENSG00000198947","PDE4D/DMD","GO_BP"
"95","GO:0090075~relaxation of muscle",2,"2/65","35/18669",0.00659531100830058,0.111009497918659,16.4123076923077,"ENSG00000113448/ENSG00000184588","PDE4D/PDE4B","GO_BP"
"96","GO:1903514~release of sequestered calcium ion into cytosol by endoplasmic reticulum",2,"2/65","36/18669",0.00696768521409069,0.116055506847198,15.9564102564103,"ENSG00000113448/ENSG00000198947","PDE4D/DMD","GO_BP"
"97","GO:0007517~muscle organ development",5,"5/65","347/18669",0.00715805849987538,0.117843744616604,4.13855021059632,"ENSG00000198947/ENSG00000066468/ENSG00000065534/ENSG00000111913/ENSG00000105971","DMD/FGFR2/MYLK/RIPOR2/CAV2","GO_BP"
"98","GO:0016049~cell growth",6,"6/65","492/18669",0.00722244338488253,0.117843744616604,3.50262664165103,"ENSG00000065320/ENSG00000082397/ENSG00000129682/ENSG00000179833/ENSG00000137692/ENSG00000198910","NTN1/EPB41L3/FGF13/SERTAD2/DCUN1D5/L1CAM","GO_BP"
"99","GO:0016050~vesicle organization",5,"5/65","352/18669",0.00759098245820414,0.119008632790012,4.07976398601399,"ENSG00000220205/ENSG00000169554/ENSG00000143669/ENSG00000105971/ENSG00000166128","VAMP2/ZEB2/LYST/CAV2/RAB8B","GO_BP"
"100","GO:0006936~muscle contraction",5,"5/65","353/18669",0.00767971544766338,0.119008632790012,4.06820658095446,"ENSG00000113448/ENSG00000198947/ENSG00000065534/ENSG00000129682/ENSG00000184588","PDE4D/DMD/MYLK/FGF13/PDE4B","GO_BP"
"101","GO:0007265~Ras protein signal transduction",5,"5/65","353/18669",0.00767971544766338,0.119008632790012,4.06820658095446,"ENSG00000065320/ENSG00000198121/ENSG00000111913/ENSG00000206418/ENSG00000163171","NTN1/LPAR1/RIPOR2/RAB12/CDC42EP3","GO_BP"
"102","GO:0030003~cellular cation homeostasis",6,"6/65","499/18669",0.00771821789901186,0.119008632790012,3.45349159858178,"ENSG00000113448/ENSG00000198947/ENSG00000172869/ENSG00000104267/ENSG00000071967/ENSG00000105971","PDE4D/DMD/DMXL1/CA2/CYBRD1/CAV2","GO_BP"
"103","GO:0045773~positive regulation of axon extension",2,"2/65","38/18669",0.00774039888065117,0.119008632790012,15.1165991902834,"ENSG00000065320/ENSG00000198910","NTN1/L1CAM","GO_BP"
"104","GO:0048741~skeletal muscle fiber development",2,"2/65","38/18669",0.00774039888065117,0.119008632790012,15.1165991902834,"ENSG00000111913/ENSG00000105971","RIPOR2/CAV2","GO_BP"
"105","GO:0032438~melanosome organization",2,"2/65","39/18669",0.00814060365401926,0.123969764216922,14.7289940828402,"ENSG00000169554/ENSG00000143669","ZEB2/LYST","GO_BP"
"106","GO:0006906~vesicle fusion",3,"3/65","120/18669",0.00846847319927001,0.127746119298422,7.18038461538462,"ENSG00000220205/ENSG00000105971/ENSG00000166128","VAMP2/CAV2/RAB8B","GO_BP"
"107","GO:0048753~pigment granule organization",2,"2/65","40/18669",0.00854995116801464,0.127769831006125,14.3607692307692,"ENSG00000169554/ENSG00000143669","ZEB2/LYST","GO_BP"
"108","GO:0060560~developmental growth involved in morphogenesis",4,"4/65","232/18669",0.00870559826231102,0.128778695268641,4.95198938992042,"ENSG00000065320/ENSG00000066468/ENSG00000129682/ENSG00000198910","NTN1/FGFR2/FGF13/L1CAM","GO_BP"
"109","GO:0008286~insulin receptor signaling pathway",3,"3/65","122/18669",0.00885907221985649,0.128778695268641,7.06267339218159,"ENSG00000105971/ENSG00000150907/ENSG00000119729","CAV2/FOXO1/RHOQ","GO_BP"
"110","GO:0090174~organelle membrane fusion",3,"3/65","122/18669",0.00885907221985649,0.128778695268641,7.06267339218159,"ENSG00000220205/ENSG00000105971/ENSG00000166128","VAMP2/CAV2/RAB8B","GO_BP"
"111","GO:0022612~gland morphogenesis",3,"3/65","123/18669",0.00905828079411608,0.13048820711524,7.00525328330206,"ENSG00000065320/ENSG00000113580/ENSG00000066468","NTN1/NR3C1/FGFR2","GO_BP"
