"","Terms","Counts","GeneRatio","BgRatio","pValue","FDR","foldEnrichment","geneID","geneSymbol","Category"
"11","GO:0090263~positive regulation of canonical Wnt signaling pathway",5,"5/90","108/18669",0.00017555092411205,0.0329974306820278,9.60339506172839,"ENSG00000105974/ENSG00000066468/ENSG00000122707/ENSG00000169554/ENSG00000116857","CAV1/FGFR2/RECK/ZEB2/TMEM9","GO_BP"
"12","GO:0035024~negative regulation of Rho protein signal transduction",3,"3/90","23/18669",0.00017892867970372,0.0329974306820278,27.0565217391304,"ENSG00000111913/ENSG00000105976/ENSG00000173706","RIPOR2/MET/HEG1","GO_BP"
"13","GO:0060537~muscle tissue development",9,"9/90","422/18669",0.000198353120979603,0.0337658043636817,4.4239336492891,"ENSG00000215417/ENSG00000105974/ENSG00000065534/ENSG00000066468/ENSG00000198947/ENSG00000111913/ENSG00000105971/ENSG00000152413/ENSG00000173706","MIR17HG/CAV1/MYLK/FGFR2/DMD/RIPOR2/CAV2/HOMER1/HEG1","GO_BP"
"14","GO:0007517~muscle organ development",8,"8/90","347/18669",0.000270874242011358,0.0428174783979382,4.78232468780019,"ENSG00000105974/ENSG00000065534/ENSG00000066468/ENSG00000198947/ENSG00000111913/ENSG00000105971/ENSG00000152413/ENSG00000173706","CAV1/MYLK/FGFR2/DMD/RIPOR2/CAV2/HOMER1/HEG1","GO_BP"
"15","GO:2001257~regulation of cation channel activity",6,"6/90","198/18669",0.000392197962730666,0.0552212974311623,6.28585858585859,"ENSG00000105974/ENSG00000113448/ENSG00000220205/ENSG00000198947/ENSG00000129682/ENSG00000152413","CAV1/PDE4D/VAMP2/DMD/FGF13/HOMER1","GO_BP"
"16","GO:0033137~negative regulation of peptidyl-serine phosphorylation",3,"3/90","31/18669",0.000441651907039338,0.0552212974311623,20.0741935483871,"ENSG00000105974/ENSG00000113448/ENSG00000198947","CAV1/PDE4D/DMD","GO_BP"
"17","GO:0060603~mammary gland duct morphogenesis",3,"3/90","31/18669",0.000441651907039338,0.0552212974311623,20.0741935483871,"ENSG00000065320/ENSG00000113580/ENSG00000066468","NTN1/NR3C1/FGFR2","GO_BP"
"18","GO:2000628~regulation of miRNA metabolic process",4,"4/90","74/18669",0.000449156508703534,0.0552212974311623,11.2126126126126,"ENSG00000269821/ENSG00000234741/ENSG00000113580/ENSG00000136997","KCNQ1OT1/GAS5/NR3C1/MYC","GO_BP"
"19","GO:0032869~cellular response to insulin stimulus",6,"6/90","208/18669",0.000509161091546444,0.0585280509800803,5.98365384615385,"ENSG00000220205/ENSG00000101255/ENSG00000084676/ENSG00000105971/ENSG00000134982/ENSG00000150907","VAMP2/TRIB3/NCOA1/CAV2/APC/FOXO1","GO_BP"
"20","GO:0055117~regulation of cardiac muscle contraction",4,"4/90","78/18669",0.000548719228324908,0.0585280509800803,10.6376068376068,"ENSG00000105974/ENSG00000113448/ENSG00000198947/ENSG00000129682","CAV1/PDE4D/DMD/FGF13","GO_BP"
"21","GO:0003382~epithelial cell morphogenesis",3,"3/90","34/18669",0.000581842350457192,0.0585280509800803,18.3029411764706,"ENSG00000105976/ENSG00000139926/ENSG00000173706","MET/FRMD6/HEG1","GO_BP"
"22","GO:0086004~regulation of cardiac muscle cell contraction",3,"3/90","34/18669",0.000581842350457192,0.0585280509800803,18.3029411764706,"ENSG00000105974/ENSG00000113448/ENSG00000129682","CAV1/PDE4D/FGF13","GO_BP"
"23","GO:0030177~positive regulation of Wnt signaling pathway",5,"5/90","144/18669",0.000661379592225252,0.0611470182750796,7.2025462962963,"ENSG00000105974/ENSG00000066468/ENSG00000122707/ENSG00000169554/ENSG00000116857","CAV1/FGFR2/RECK/ZEB2/TMEM9","GO_BP"
"24","GO:0071375~cellular response to peptide hormone stimulus",7,"7/90","307/18669",0.000707292143151713,0.0611470182750796,4.72975027144408,"ENSG00000105974/ENSG00000220205/ENSG00000101255/ENSG00000084676/ENSG00000105971/ENSG00000134982/ENSG00000150907","CAV1/VAMP2/TRIB3/NCOA1/CAV2/APC/FOXO1","GO_BP"
"25","GO:0051056~regulation of small GTPase mediated signal transduction",7,"7/90","308/18669",0.000720943837248508,0.0611470182750796,4.71439393939394,"ENSG00000198121/ENSG00000111913/ENSG00000105976/ENSG00000108061/ENSG00000147799/ENSG00000142632/ENSG00000173706","LPAR1/RIPOR2/MET/SHOC2/ARHGAP39/ARHGEF19/HEG1","GO_BP"
"26","GO:0032970~regulation of actin filament-based process",8,"8/90","406/18669",0.000764805288920387,0.0611470182750796,4.08735632183908,"ENSG00000198121/ENSG00000105974/ENSG00000113448/ENSG00000105976/ENSG00000129682/ENSG00000163171/ENSG00000142632/ENSG00000139926","LPAR1/CAV1/PDE4D/MET/FGF13/CDC42EP3/ARHGEF19/FRMD6","GO_BP"
"27","GO:0048741~skeletal muscle fiber development",3,"3/90","38/18669",0.000808920134325191,0.0611470182750796,16.3763157894737,"ENSG00000111913/ENSG00000105971/ENSG00000152413","RIPOR2/CAV2/HOMER1","GO_BP"
"28","GO:0055072~iron ion homeostasis",4,"4/90","87/18669",0.000828518462371658,0.0611470182750796,9.53716475095785,"ENSG00000136997/ENSG00000118564/ENSG00000071967/ENSG00000115657","MYC/FBXL5/CYBRD1/ABCB6","GO_BP"
"29","GO:0035023~regulation of Rho protein signal transduction",4,"4/90","88/18669",0.000864803134204439,0.0611470182750796,9.42878787878788,"ENSG00000198121/ENSG00000111913/ENSG00000105976/ENSG00000173706","LPAR1/RIPOR2/MET/HEG1","GO_BP"
"30","GO:0032438~melanosome organization",3,"3/90","39/18669",0.000873287694560609,0.0611470182750796,15.9564102564103,"ENSG00000169554/ENSG00000143669/ENSG00000115657","ZEB2/LYST/ABCB6","GO_BP"
"31","GO:0010586~miRNA metabolic process",4,"4/90","90/18669",0.000940711259458465,0.0611470182750796,9.21925925925926,"ENSG00000269821/ENSG00000234741/ENSG00000113580/ENSG00000136997","KCNQ1OT1/GAS5/NR3C1/MYC","GO_BP"
"32","GO:0048753~pigment granule organization",3,"3/90","40/18669",0.000940817745058019,0.0611470182750796,15.5575,"ENSG00000169554/ENSG00000143669/ENSG00000115657","ZEB2/LYST/ABCB6","GO_BP"
"33","GO:1903115~regulation of actin filament-based movement",3,"3/90","40/18669",0.000940817745058019,0.0611470182750796,15.5575,"ENSG00000105974/ENSG00000113448/ENSG00000129682","CAV1/PDE4D/FGF13","GO_BP"
"34","GO:0006875~cellular metal ion homeostasis",8,"8/90","420/18669",0.000952021432089073,0.0611470182750796,3.95111111111111,"ENSG00000105974/ENSG00000113448/ENSG00000136997/ENSG00000198947/ENSG00000071967/ENSG00000105971/ENSG00000125247/ENSG00000115657","CAV1/PDE4D/MYC/DMD/CYBRD1/CAV2/TMTC4/ABCB6","GO_BP"
"35","GO:0001765~membrane raft assembly",2,"2/90","10/18669",0.00100856379340412,0.0611470182750796,41.4866666666667,"ENSG00000105974/ENSG00000105971","CAV1/CAV2","GO_BP"
"36","GO:0060525~prostate glandular acinus development",2,"2/90","10/18669",0.00100856379340412,0.0611470182750796,41.4866666666667,"ENSG00000066468/ENSG00000116455","FGFR2/WDR77","GO_BP"
"37","GO:0014904~myotube cell development",3,"3/90","42/18669",0.00108560326199642,0.0611470182750796,14.8166666666667,"ENSG00000111913/ENSG00000105971/ENSG00000152413","RIPOR2/CAV2/HOMER1","GO_BP"
"38","GO:0007519~skeletal muscle tissue development",5,"5/90","164/18669",0.00118558010999566,0.0611470182750796,6.32418699186992,"ENSG00000105974/ENSG00000198947/ENSG00000111913/ENSG00000105971/ENSG00000152413","CAV1/DMD/RIPOR2/CAV2/HOMER1","GO_BP"
"39","GO:0019065~receptor-mediated endocytosis of virus by host cell",2,"2/90","11/18669",0.00122882598958003,0.0611470182750796,37.7151515151515,"ENSG00000105974/ENSG00000105971","CAV1/CAV2","GO_BP"
"40","GO:0032060~bleb assembly",2,"2/90","11/18669",0.00122882598958003,0.0611470182750796,37.7151515151515,"ENSG00000198121/ENSG00000065534","LPAR1/MYLK","GO_BP"
"41","GO:0048755~branching morphogenesis of a nerve",2,"2/90","11/18669",0.00122882598958003,0.0611470182750796,37.7151515151515,"ENSG00000066468/ENSG00000129682","FGFR2/FGF13","GO_BP"
"42","GO:0060742~epithelial cell differentiation involved in prostate gland development",2,"2/90","11/18669",0.00122882598958003,0.0611470182750796,37.7151515151515,"ENSG00000066468/ENSG00000116455","FGFR2/WDR77","GO_BP"
"43","GO:1901844~regulation of cell communication by electrical coupling involved in cardiac conduction",2,"2/90","11/18669",0.00122882598958003,0.0611470182750796,37.7151515151515,"ENSG00000105974/ENSG00000113448","CAV1/PDE4D","GO_BP"
"44","GO:0001933~negative regulation of protein phosphorylation",7,"7/90","338/18669",0.00123795590492745,0.0611470182750796,4.29595660749507,"ENSG00000105974/ENSG00000113448/ENSG00000162407/ENSG00000198947/ENSG00000101255/ENSG00000134982/ENSG00000173706","CAV1/PDE4D/PLPP3/DMD/TRIB3/APC/HEG1","GO_BP"
"45","GO:0006942~regulation of striated muscle contraction",4,"4/90","97/18669",0.00124338717685431,0.0611470182750796,8.55395189003436,"ENSG00000105974/ENSG00000113448/ENSG00000198947/ENSG00000129682","CAV1/PDE4D/DMD/FGF13","GO_BP"
"46","GO:0001886~endothelial cell morphogenesis",2,"2/90","12/18669",0.00146997165799493,0.066077083311371,34.5722222222222,"ENSG00000105976/ENSG00000173706","MET/HEG1","GO_BP"
"47","GO:0036295~cellular response to increased oxygen levels",2,"2/90","12/18669",0.00146997165799493,0.066077083311371,34.5722222222222,"ENSG00000105974/ENSG00000150907","CAV1/FOXO1","GO_BP"
"48","GO:0043951~negative regulation of cAMP-mediated signaling",2,"2/90","12/18669",0.00146997165799493,0.066077083311371,34.5722222222222,"ENSG00000198121/ENSG00000113448","LPAR1/PDE4D","GO_BP"
"49","GO:0044857~plasma membrane raft organization",2,"2/90","12/18669",0.00146997165799493,0.066077083311371,34.5722222222222,"ENSG00000105974/ENSG00000105971","CAV1/CAV2","GO_BP"
"50","GO:0090257~regulation of muscle system process",6,"6/90","256/18669",0.00149307985081876,0.066077083311371,4.86171875,"ENSG00000215417/ENSG00000105974/ENSG00000113448/ENSG00000198947/ENSG00000129682/ENSG00000150907","MIR17HG/CAV1/PDE4D/DMD/FGF13/FOXO1","GO_BP"
"51","GO:0007265~Ras protein signal transduction",7,"7/90","353/18669",0.00158738061747415,0.066077083311371,4.11340887629839,"ENSG00000198121/ENSG00000065320/ENSG00000111913/ENSG00000105976/ENSG00000108061/ENSG00000163171/ENSG00000173706","LPAR1/NTN1/RIPOR2/MET/SHOC2/CDC42EP3/HEG1","GO_BP"
"52","GO:0070252~actin-mediated cell contraction",4,"4/90","104/18669",0.00160843641329793,0.066077083311371,7.97820512820513,"ENSG00000105974/ENSG00000113448/ENSG00000129682/ENSG00000139926","CAV1/PDE4D/FGF13/FRMD6","GO_BP"
"53","GO:0060538~skeletal muscle organ development",5,"5/90","176/18669",0.00162006228989044,0.066077083311371,5.89299242424242,"ENSG00000105974/ENSG00000198947/ENSG00000111913/ENSG00000105971/ENSG00000152413","CAV1/DMD/RIPOR2/CAV2/HOMER1","GO_BP"
"54","GO:0003012~muscle system process",8,"8/90","458/18669",0.00165086081689684,0.066077083311371,3.62328966521106,"ENSG00000215417/ENSG00000105974/ENSG00000113448/ENSG00000065534/ENSG00000198947/ENSG00000129682/ENSG00000150907/ENSG00000152413","MIR17HG/CAV1/PDE4D/MYLK/DMD/FGF13/FOXO1/HOMER1","GO_BP"
"55","GO:0051099~positive regulation of binding",5,"5/90","177/18669",0.0016609082004918,0.066077083311371,5.85969868173258,"ENSG00000105974/ENSG00000101255/ENSG00000111913/ENSG00000105976/ENSG00000106003","CAV1/TRIB3/RIPOR2/MET/LFNG","GO_BP"
"56","GO:0031272~regulation of pseudopodium assembly",2,"2/90","13/18669",0.00173179883961117,0.066077083311371,31.9128205128205,"ENSG00000134982/ENSG00000163171","APC/CDC42EP3","GO_BP"
"57","GO:0031274~positive regulation of pseudopodium assembly",2,"2/90","13/18669",0.00173179883961117,0.066077083311371,31.9128205128205,"ENSG00000134982/ENSG00000163171","APC/CDC42EP3","GO_BP"
"58","GO:0075509~endocytosis involved in viral entry into host cell",2,"2/90","13/18669",0.00173179883961117,0.066077083311371,31.9128205128205,"ENSG00000105974/ENSG00000105971","CAV1/CAV2","GO_BP"
"59","GO:0006941~striated muscle contraction",5,"5/90","181/18669",0.00183189857570704,0.068711721153215,5.73020257826888,"ENSG00000105974/ENSG00000113448/ENSG00000198947/ENSG00000129682/ENSG00000152413","CAV1/PDE4D/DMD/FGF13/HOMER1","GO_BP"
"60","GO:0046580~negative regulation of Ras protein signal transduction",3,"3/90","51/18669",0.00190872121169885,0.0695791096520306,12.2019607843137,"ENSG00000111913/ENSG00000105976/ENSG00000173706","RIPOR2/MET/HEG1","GO_BP"
"61","GO:0032868~response to insulin",6,"6/90","269/18669",0.00191790586930586,0.0695791096520306,4.6267657992565,"ENSG00000220205/ENSG00000101255/ENSG00000084676/ENSG00000105971/ENSG00000134982/ENSG00000150907","VAMP2/TRIB3/NCOA1/CAV2/APC/FOXO1","GO_BP"
"62","GO:0071560~cellular response to transforming growth factor beta stimulus",6,"6/90","271/18669",0.00199063858745371,0.0696440435977424,4.59261992619926,"ENSG00000215417/ENSG00000105974/ENSG00000113580/ENSG00000066468/ENSG00000169554/ENSG00000105971","MIR17HG/CAV1/NR3C1/FGFR2/ZEB2/CAV2","GO_BP"
"63","GO:0010587~miRNA catabolic process",2,"2/90","14/18669",0.00201410699966359,0.0696440435977424,29.6333333333333,"ENSG00000269821/ENSG00000234741","KCNQ1OT1/GAS5","GO_BP"
"64","GO:0055057~neuroblast division",2,"2/90","14/18669",0.00201410699966359,0.0696440435977424,29.6333333333333,"ENSG00000066468/ENSG00000129682","FGFR2/FGF13","GO_BP"
"65","GO:1901653~cellular response to peptide",7,"7/90","374/18669",0.00220081205735417,0.073240721467972,3.88244206773619,"ENSG00000105974/ENSG00000220205/ENSG00000101255/ENSG00000084676/ENSG00000105971/ENSG00000134982/ENSG00000150907","CAV1/VAMP2/TRIB3/NCOA1/CAV2/APC/FOXO1","GO_BP"
"66","GO:0071559~response to transforming growth factor beta",6,"6/90","277/18669",0.00222142132282149,0.073240721467972,4.49314079422383,"ENSG00000215417/ENSG00000105974/ENSG00000113580/ENSG00000066468/ENSG00000169554/ENSG00000105971","MIR17HG/CAV1/NR3C1/FGFR2/ZEB2/CAV2","GO_BP"
"67","GO:0043087~regulation of GTPase activity",7,"7/90","375/18669",0.00223402887402909,0.073240721467972,3.87208888888889,"ENSG00000111913/ENSG00000105976/ENSG00000109436/ENSG00000105971/ENSG00000133612/ENSG00000142632/ENSG00000111490","RIPOR2/MET/TBC1D9/CAV2/AGAP3/ARHGEF19/TBC1D30","GO_BP"
"68","GO:0051302~regulation of cell division",5,"5/90","190/18669",0.00226341826784924,0.073240721467972,5.45877192982456,"ENSG00000079335/ENSG00000066468/ENSG00000136997/ENSG00000135632/ENSG00000171552","CDC14A/FGFR2/MYC/SMYD5/BCL2L1","GO_BP"
"69","GO:0010649~regulation of cell communication by electrical coupling",2,"2/90","15/18669",0.00231669701886943,0.073240721467972,27.6577777777778,"ENSG00000105974/ENSG00000113448","CAV1/PDE4D","GO_BP"
"70","GO:1904424~regulation of GTP binding",2,"2/90","15/18669",0.00231669701886943,0.073240721467972,27.6577777777778,"ENSG00000111913/ENSG00000105976","RIPOR2/MET","GO_BP"
"71","GO:0032412~regulation of ion transmembrane transporter activity",6,"6/90","281/18669",0.00238614389928955,0.0740161245675447,4.42918149466192,"ENSG00000105974/ENSG00000113448/ENSG00000220205/ENSG00000198947/ENSG00000129682/ENSG00000152413","CAV1/PDE4D/VAMP2/DMD/FGF13/HOMER1","GO_BP"
"72","GO:0046578~regulation of Ras protein signal transduction",5,"5/90","193/18669",0.00242246661130861,0.0740161245675447,5.37392055267703,"ENSG00000198121/ENSG00000111913/ENSG00000105976/ENSG00000108061/ENSG00000173706","LPAR1/RIPOR2/MET/SHOC2/HEG1","GO_BP"
"73","GO:0042326~negative regulation of phosphorylation",7,"7/90","381/18669",0.00244156217507038,0.0740161245675447,3.81111111111111,"ENSG00000105974/ENSG00000113448/ENSG00000162407/ENSG00000198947/ENSG00000101255/ENSG00000134982/ENSG00000173706","CAV1/PDE4D/PLPP3/DMD/TRIB3/APC/HEG1","GO_BP"
"74","GO:0031269~pseudopodium assembly",2,"2/90","16/18669",0.00263937118468845,0.0785597396805566,25.9291666666667,"ENSG00000134982/ENSG00000163171","APC/CDC42EP3","GO_BP"
"75","GO:0006906~vesicle fusion",4,"4/90","120/18669",0.00271064862916444,0.0785597396805566,6.91444444444444,"ENSG00000220205/ENSG00000105971/ENSG00000166128/ENSG00000106089","VAMP2/CAV2/RAB8B/STX1A","GO_BP"
"76","GO:0051058~negative regulation of small GTPase mediated signal transduction",3,"3/90","58/18669",0.00276031413599836,0.0785597396805566,10.7293103448276,"ENSG00000111913/ENSG00000105976/ENSG00000173706","RIPOR2/MET/HEG1","GO_BP"
"77","GO:0120032~regulation of plasma membrane bounded cell projection assembly",5,"5/90","199/18669",0.00276475332439031,0.0785597396805566,5.21189279731993,"ENSG00000105974/ENSG00000111913/ENSG00000134982/ENSG00000163171/ENSG00000111490","CAV1/RIPOR2/APC/CDC42EP3/TBC1D30","GO_BP"
"78","GO:0090630~activation of GTPase activity",4,"4/90","121/18669",0.00279312939029141,0.0785597396805566,6.85730027548209,"ENSG00000109436/ENSG00000133612/ENSG00000142632/ENSG00000111490","TBC1D9/AGAP3/ARHGEF19/TBC1D30","GO_BP"
"79","GO:0022898~regulation of transmembrane transporter activity",6,"6/90","291/18669",0.0028382344071488,0.0785597396805566,4.27697594501718,"ENSG00000105974/ENSG00000113448/ENSG00000220205/ENSG00000198947/ENSG00000129682/ENSG00000152413","CAV1/PDE4D/VAMP2/DMD/FGF13/HOMER1","GO_BP"
"80","GO:0090174~organelle membrane fusion",4,"4/90","122/18669",0.00287731496525542,0.0785597396805566,6.80109289617486,"ENSG00000220205/ENSG00000105971/ENSG00000166128/ENSG00000106089","VAMP2/CAV2/RAB8B/STX1A","GO_BP"
"81","GO:0060491~regulation of cell projection assembly",5,"5/90","201/18669",0.00288626668120557,0.0785597396805566,5.16003316749585,"ENSG00000105974/ENSG00000111913/ENSG00000134982/ENSG00000163171/ENSG00000111490","CAV1/RIPOR2/APC/CDC42EP3/TBC1D30","GO_BP"
"82","GO:1904062~regulation of cation transmembrane transport",7,"7/90","394/18669",0.0029421655060391,0.0785597396805566,3.68536379018613,"ENSG00000105974/ENSG00000113448/ENSG00000220205/ENSG00000198947/ENSG00000105464/ENSG00000129682/ENSG00000152413","CAV1/PDE4D/VAMP2/DMD/GRIN2D/FGF13/HOMER1","GO_BP"
"83","GO:0022612~gland morphogenesis",4,"4/90","123/18669",0.00296322266725444,0.0785597396805566,6.74579945799458,"ENSG00000065320/ENSG00000105974/ENSG00000113580/ENSG00000066468","NTN1/CAV1/NR3C1/FGFR2","GO_BP"
"84","GO:0031268~pseudopodium organization",2,"2/90","17/18669",0.00298193318263297,0.0785597396805566,24.4039215686275,"ENSG00000134982/ENSG00000163171","APC/CDC42EP3","GO_BP"
"85","GO:0086103~G protein-coupled receptor signaling pathway involved in heart process",2,"2/90","18/18669",0.00334418808762745,0.0870669204461123,23.0481481481481,"ENSG00000105974/ENSG00000113448","CAV1/PDE4D","GO_BP"
"86","GO:0045732~positive regulation of protein catabolic process",5,"5/90","210/18669",0.00348137275973062,0.0895846269451613,4.93888888888889,"ENSG00000105974/ENSG00000101255/ENSG00000118564/ENSG00000134982/ENSG00000150907","CAV1/TRIB3/FBXL5/APC/FOXO1","GO_BP"
"87","GO:0001885~endothelial cell development",3,"3/90","65/18669",0.00381397724368761,0.0959128595486441,9.57384615384615,"ENSG00000113448/ENSG00000105976/ENSG00000173706","PDE4D/MET/HEG1","GO_BP"
"88","GO:0006879~cellular iron ion homeostasis",3,"3/90","65/18669",0.00381397724368761,0.0959128595486441,9.57384615384615,"ENSG00000136997/ENSG00000071967/ENSG00000115657","MYC/CYBRD1/ABCB6","GO_BP"
"89","GO:0033059~cellular pigmentation",3,"3/90","66/18669",0.00398179947991258,0.0990081151578264,9.42878787878788,"ENSG00000169554/ENSG00000143669/ENSG00000115657","ZEB2/LYST/ABCB6","GO_BP"
"90","GO:0030048~actin filament-based movement",4,"4/90","134/18669",0.00402674501048104,0.0990131856466061,6.19203980099503,"ENSG00000105974/ENSG00000113448/ENSG00000129682/ENSG00000139926","CAV1/PDE4D/FGF13/FRMD6","GO_BP"
"91","GO:0044794~positive regulation by host of viral process",2,"2/90","20/18669",0.00412700381402858,0.099272385222231,20.7433333333333,"ENSG00000188706/ENSG00000105971","ZDHHC9/CAV2","GO_BP"
"92","GO:0055093~response to hyperoxia",2,"2/90","20/18669",0.00412700381402858,0.099272385222231,20.7433333333333,"ENSG00000105974/ENSG00000150907","CAV1/FOXO1","GO_BP"
"93","GO:0043434~response to peptide hormone",7,"7/90","422/18669",0.0042856984743003,0.101123488874786,3.44083728278041,"ENSG00000105974/ENSG00000220205/ENSG00000101255/ENSG00000084676/ENSG00000105971/ENSG00000134982/ENSG00000150907","CAV1/VAMP2/TRIB3/NCOA1/CAV2/APC/FOXO1","GO_BP"
"94","GO:0048278~vesicle docking",3,"3/90","68/18669",0.00433078389539439,0.101123488874786,9.15147058823529,"ENSG00000105971/ENSG00000166128/ENSG00000106089","CAV2/RAB8B/STX1A","GO_BP"
"95","GO:0010959~regulation of metal ion transport",7,"7/90","423/18669",0.00434104448400575,0.101123488874786,3.43270291568164,"ENSG00000105974/ENSG00000113448/ENSG00000065534/ENSG00000220205/ENSG00000198947/ENSG00000129682/ENSG00000152413","CAV1/PDE4D/MYLK/VAMP2/DMD/FGF13/HOMER1","GO_BP"
"96","GO:0030879~mammary gland development",4,"4/90","138/18669",0.00447003533374246,0.102682785746087,6.01256038647343,"ENSG00000065320/ENSG00000105974/ENSG00000113580/ENSG00000066468","NTN1/CAV1/NR3C1/FGFR2","GO_BP"
"97","GO:0061180~mammary gland epithelium development",3,"3/90","69/18669",0.00451201474130455,0.102682785746087,9.01884057971014,"ENSG00000065320/ENSG00000113580/ENSG00000066468","NTN1/NR3C1/FGFR2","GO_BP"
"98","GO:0006670~sphingosine metabolic process",2,"2/90","21/18669",0.00454718165527183,0.102682785746087,19.7555555555556,"ENSG00000162407/ENSG00000126821","PLPP3/SGPP1","GO_BP"
"99","GO:0060048~cardiac muscle contraction",4,"4/90","140/18669",0.0047035466680989,0.105091922489559,5.92666666666667,"ENSG00000105974/ENSG00000113448/ENSG00000198947/ENSG00000129682","CAV1/PDE4D/DMD/FGF13","GO_BP"
"100","GO:0034329~cell junction assembly",7,"7/90","431/18669",0.00480356966064204,0.105091922489559,3.36898685228152,"ENSG00000082397/ENSG00000065320/ENSG00000105974/ENSG00000129682/ENSG00000134982/ENSG00000151914/ENSG00000173706","EPB41L3/NTN1/CAV1/FGF13/APC/DST/HEG1","GO_BP"
"101","GO:0090090~negative regulation of canonical Wnt signaling pathway",4,"4/90","141/18669",0.00482332460206424,0.105091922489559,5.88463356973995,"ENSG00000105974/ENSG00000134982/ENSG00000106829/ENSG00000150907","CAV1/APC/TLE4/FOXO1","GO_BP"
"102","GO:0003208~cardiac ventricle morphogenesis",3,"3/90","71/18669",0.00488811942996089,0.105091922489559,8.76478873239436,"ENSG00000215417/ENSG00000066468/ENSG00000173706","MIR17HG/FGFR2/HEG1","GO_BP"
"103","GO:0032409~regulation of transporter activity",6,"6/90","326/18669",0.00493732755975959,0.105091922489559,3.81779141104294,"ENSG00000105974/ENSG00000113448/ENSG00000220205/ENSG00000198947/ENSG00000129682/ENSG00000152413","CAV1/PDE4D/VAMP2/DMD/FGF13/HOMER1","GO_BP"
