gene	symbol	type	numInteractions
ENSG00000157168	NRG1	pc	3
ENSG00000157193	LRP8	pc	5
ENSG00000157570	TSPAN18	pc	3
ENSG00000159167	STC1	pc	5
ENSG00000162062	C16orf59	pc	1
ENSG00000162407	PLPP3	pc	2
ENSG00000163032	VSNL1	pc	1
ENSG00000163132	MSX1	pc	1
ENSG00000163347	CLDN1	pc	3
ENSG00000163597	SNHG16	lnc	4
ENSG00000163637	PRICKLE2	pc	3
ENSG00000164176	EDIL3	pc	2
ENSG00000164542	KIAA0895	pc	1
ENSG00000165757	JCAD	pc	3
ENSG00000166123	GPT2	pc	1
ENSG00000166197	NOLC1	pc	1
ENSG00000167702	KIFC2	pc	3
ENSG00000168077	SCARA3	pc	2
ENSG00000169554	ZEB2	pc	2
ENSG00000169710	FASN	pc	2
ENSG00000169851	PCDH7	pc	2
ENSG00000170293	CMTM8	pc	1
ENSG00000170989	S1PR1	pc	5
ENSG00000171453	POLR1C	pc	1
ENSG00000172164	SNTB1	pc	1
ENSG00000175592	FOSL1	pc	4
ENSG00000176619	LMNB2	pc	3
ENSG00000177732	SOX12	pc	4
ENSG00000179041	RRS1	pc	1
ENSG00000179241	LDLRAD3	pc	3
ENSG00000179862	CITED4	pc	1
ENSG00000180198	RCC1	pc	1
ENSG00000182199	SHMT2	pc	1
ENSG00000182253	SYNM	pc	3
ENSG00000182983	ZNF662	pc	3
ENSG00000183741	CBX6	pc	3
ENSG00000184371	CSF1	pc	5
ENSG00000184575	XPOT	pc	1
ENSG00000186416	NKRF	pc	4
ENSG00000188760	TMEM198	pc	2
ENSG00000189007	ADAT2	pc	1
ENSG00000189120	SP6	pc	1
ENSG00000196411	EPHB4	pc	5
ENSG00000197343	ZNF655	pc	2
ENSG00000197989	SNHG12	lnc	1
ENSG00000198121	LPAR1	pc	2
ENSG00000198720	ANKRD13B	pc	6
ENSG00000198910	L1CAM	pc	2
ENSG00000204262	COL5A2	pc	3
ENSG00000204899	MZT1	pc	1
ENSG00000211448	DIO2	pc	3
ENSG00000215417	MIR17HG	lnc	7
ENSG00000220205	VAMP2	pc	2
ENSG00000224189	HAGLR	lnc	1
ENSG00000225614	ZNF469	pc	3
ENSG00000232956	SNHG15	lnc	1
ENSG00000233016	SNHG7	lnc	1
ENSG00000234456	MAGI2-AS3	lnc	2
ENSG00000234741	GAS5	lnc	1
ENSG00000234912	SNHG20	lnc	1
ENSG00000235280	MCF2L-AS1	lnc	1
ENSG00000235703	LINC00894	lnc	1
ENSG00000242125	SNHG3	lnc	1
ENSG00000249859	PVT1	lnc	2
ENSG00000251562	MALAT1	lnc	19
ENSG00000255717	SNHG1	lnc	5
ENSG00000264112	AC015813.1	lnc	1
ENSG00000269821	KCNQ1OT1	lnc	15
hsa-miR-103a-3p	hsa-miR-103a-3p	mir	8
hsa-miR-106a-5p	hsa-miR-106a-5p	mir	2
hsa-miR-107	hsa-miR-107	mir	8
hsa-miR-124-3p	hsa-miR-124-3p	mir	2
hsa-miR-125a-3p	hsa-miR-125a-3p	mir	3
hsa-miR-1271-5p	hsa-miR-1271-5p	mir	4
hsa-miR-1297	hsa-miR-1297	mir	2
hsa-miR-130a-3p	hsa-miR-130a-3p	mir	32
hsa-miR-130b-3p	hsa-miR-130b-3p	mir	32
hsa-miR-138-5p	hsa-miR-138-5p	mir	6
hsa-miR-140-5p	hsa-miR-140-5p	mir	4
hsa-miR-148a-3p	hsa-miR-148a-3p	mir	4
hsa-miR-148b-3p	hsa-miR-148b-3p	mir	3
hsa-miR-152-3p	hsa-miR-152-3p	mir	4
hsa-miR-183-5p	hsa-miR-183-5p	mir	4
hsa-miR-200b-3p	hsa-miR-200b-3p	mir	3
hsa-miR-200c-3p	hsa-miR-200c-3p	mir	3
hsa-miR-203a-3p	hsa-miR-203a-3p	mir	2
hsa-miR-21-5p	hsa-miR-21-5p	mir	2
hsa-miR-214-3p	hsa-miR-214-3p	mir	4
hsa-miR-216a-5p	hsa-miR-216a-5p	mir	2
hsa-miR-24-3p	hsa-miR-24-3p	mir	14
hsa-miR-26a-5p	hsa-miR-26a-5p	mir	2
hsa-miR-26b-5p	hsa-miR-26b-5p	mir	2
hsa-miR-29a-3p	hsa-miR-29a-3p	mir	31
hsa-miR-29b-3p	hsa-miR-29b-3p	mir	32
hsa-miR-29c-3p	hsa-miR-29c-3p	mir	32
hsa-miR-301a-3p	hsa-miR-301a-3p	mir	8
hsa-miR-301b-3p	hsa-miR-301b-3p	mir	8
hsa-miR-320a	hsa-miR-320a	mir	2
hsa-miR-320b	hsa-miR-320b	mir	2
hsa-miR-320c	hsa-miR-320c	mir	2
hsa-miR-320d	hsa-miR-320d	mir	2
hsa-miR-326	hsa-miR-326	mir	5
hsa-miR-330-5p	hsa-miR-330-5p	mir	5
hsa-miR-33a-5p	hsa-miR-33a-5p	mir	2
hsa-miR-340-5p	hsa-miR-340-5p	mir	11
hsa-miR-342-3p	hsa-miR-342-3p	mir	3
hsa-miR-3619-5p	hsa-miR-3619-5p	mir	3
hsa-miR-3666	hsa-miR-3666	mir	17
hsa-miR-370-3p	hsa-miR-370-3p	mir	2
hsa-miR-374a-5p	hsa-miR-374a-5p	mir	41
hsa-miR-374b-5p	hsa-miR-374b-5p	mir	41
hsa-miR-377-3p	hsa-miR-377-3p	mir	4
hsa-miR-421	hsa-miR-421	mir	4
hsa-miR-429	hsa-miR-429	mir	3
hsa-miR-4295	hsa-miR-4295	mir	18
hsa-miR-4429	hsa-miR-4429	mir	2
hsa-miR-4465	hsa-miR-4465	mir	2
hsa-miR-454-3p	hsa-miR-454-3p	mir	31
hsa-miR-485-5p	hsa-miR-485-5p	mir	5
hsa-miR-494-3p	hsa-miR-494-3p	mir	2
hsa-miR-495-3p	hsa-miR-495-3p	mir	9
hsa-miR-505-3p	hsa-miR-505-3p	mir	2
hsa-miR-506-3p	hsa-miR-506-3p	mir	2
hsa-miR-590-3p	hsa-miR-590-3p	mir	10
hsa-miR-7-5p	hsa-miR-7-5p	mir	2
hsa-miR-761	hsa-miR-761	mir	3
hsa-miR-93-5p	hsa-miR-93-5p	mir	2
hsa-miR-96-5p	hsa-miR-96-5p	mir	4
