fromNode	toNode	altNode1Name
ENSG00000082512	hsa-miR-29b-3p	TRAF5
ENSG00000082512	hsa-miR-29a-3p	TRAF5
ENSG00000106089	hsa-miR-29c-3p	STX1A
ENSG00000106089	hsa-miR-29b-3p	STX1A
ENSG00000106089	hsa-miR-29a-3p	STX1A
ENSG00000006625	hsa-miR-29c-3p	GGCT
ENSG00000006625	hsa-miR-29b-3p	GGCT
ENSG00000006625	hsa-miR-29a-3p	GGCT
ENSG00000047634	hsa-miR-29c-3p	SCML1
ENSG00000047634	hsa-miR-29b-3p	SCML1
ENSG00000047634	hsa-miR-29a-3p	SCML1
ENSG00000142632	hsa-miR-29c-3p	ARHGEF19
ENSG00000142632	hsa-miR-29b-3p	ARHGEF19
ENSG00000142632	hsa-miR-29a-3p	ARHGEF19
ENSG00000114270	hsa-miR-29c-3p	COL7A1
ENSG00000114270	hsa-miR-29b-3p	COL7A1
ENSG00000114270	hsa-miR-29a-3p	COL7A1
ENSG00000020577	hsa-miR-761	SAMD4A
ENSG00000020577	hsa-miR-214-3p	SAMD4A
ENSG00000020577	hsa-miR-29c-3p	SAMD4A
ENSG00000020577	hsa-miR-29b-3p	SAMD4A
ENSG00000020577	hsa-miR-3619-5p	SAMD4A
ENSG00000020577	hsa-miR-29a-3p	SAMD4A
ENSG00000081052	hsa-miR-29c-3p	COL4A4
ENSG00000081052	hsa-miR-29b-3p	COL4A4
ENSG00000081052	hsa-miR-29a-3p	COL4A4
ENSG00000102898	hsa-miR-33a-5p	NUTF2
ENSG00000103494	hsa-miR-590-3p	RPGRIP1L
ENSG00000166197	hsa-miR-590-3p	NOLC1
ENSG00000152455	hsa-miR-590-3p	SUV39H2
ENSG00000149636	hsa-miR-590-3p	DSN1
ENSG00000136492	hsa-miR-590-3p	BRIP1
ENSG00000097046	hsa-miR-590-3p	CDC7
ENSG00000068650	hsa-miR-320b	ATP11A
ENSG00000068650	hsa-miR-320d	ATP11A
ENSG00000068650	hsa-miR-203a-3p	ATP11A
ENSG00000068650	hsa-miR-140-5p	ATP11A
ENSG00000068650	hsa-miR-320c	ATP11A
ENSG00000068650	hsa-miR-4429	ATP11A
ENSG00000068650	hsa-miR-590-3p	ATP11A
ENSG00000068650	hsa-miR-320a	ATP11A
ENSG00000059588	hsa-miR-124-3p	TARBP1
ENSG00000059588	hsa-miR-1271-5p	TARBP1
ENSG00000059588	hsa-miR-96-5p	TARBP1
ENSG00000059588	hsa-miR-506-3p	TARBP1
ENSG00000135540	hsa-miR-26a-5p	NHSL1
ENSG00000135540	hsa-miR-1297	NHSL1
ENSG00000135540	hsa-miR-26b-5p	NHSL1
ENSG00000135540	hsa-miR-4465	NHSL1
ENSG00000135540	hsa-miR-590-3p	NHSL1
ENSG00000157168	hsa-miR-200b-3p	NRG1
ENSG00000157168	hsa-miR-429	NRG1
ENSG00000157168	hsa-miR-200c-3p	NRG1
ENSG00000182983	hsa-miR-200b-3p	ZNF662
ENSG00000182983	hsa-miR-429	ZNF662
ENSG00000182983	hsa-miR-200c-3p	ZNF662
ENSG00000100036	hsa-miR-1271-5p	SLC35E4
ENSG00000100036	hsa-miR-96-5p	SLC35E4
ENSG00000188760	hsa-miR-1271-5p	TMEM198
ENSG00000188760	hsa-miR-96-5p	TMEM198
ENSG00000101955	hsa-miR-130a-3p	SRPX
ENSG00000101955	hsa-miR-454-3p	SRPX
ENSG00000101955	hsa-miR-130b-3p	SRPX
ENSG00000146122	hsa-miR-29c-3p	DAAM2
ENSG00000146122	hsa-miR-29b-3p	DAAM2
ENSG00000146122	hsa-miR-29a-3p	DAAM2
ENSG00000157193	hsa-miR-4295	LRP8
ENSG00000157193	hsa-miR-130a-3p	LRP8
ENSG00000157193	hsa-miR-454-3p	LRP8
ENSG00000157193	hsa-miR-130b-3p	LRP8
ENSG00000157193	hsa-miR-3666	LRP8
ENSG00000182253	hsa-miR-130a-3p	SYNM
ENSG00000182253	hsa-miR-454-3p	SYNM
ENSG00000182253	hsa-miR-130b-3p	SYNM
ENSG00000163347	hsa-miR-29c-3p	CLDN1
ENSG00000163347	hsa-miR-29b-3p	CLDN1
ENSG00000163347	hsa-miR-29a-3p	CLDN1
ENSG00000124766	hsa-miR-4295	SOX4
ENSG00000124766	hsa-miR-130a-3p	SOX4
ENSG00000124766	hsa-miR-138-5p	SOX4
ENSG00000124766	hsa-miR-454-3p	SOX4
ENSG00000124766	hsa-miR-130b-3p	SOX4
ENSG00000124766	hsa-miR-3666	SOX4
ENSG00000068650	hsa-miR-4295	ATP11A
ENSG00000068650	hsa-miR-130a-3p	ATP11A
ENSG00000068650	hsa-miR-454-3p	ATP11A
ENSG00000068650	hsa-miR-130b-3p	ATP11A
ENSG00000068650	hsa-miR-3666	ATP11A
ENSG00000101057	hsa-miR-29c-3p	MYBL2
ENSG00000101057	hsa-miR-29b-3p	MYBL2
ENSG00000101057	hsa-miR-29a-3p	MYBL2
ENSG00000168077	hsa-miR-130a-3p	SCARA3
ENSG00000168077	hsa-miR-130b-3p	SCARA3
ENSG00000136295	hsa-miR-4295	TTYH3
ENSG00000136295	hsa-miR-130a-3p	TTYH3
ENSG00000136295	hsa-miR-454-3p	TTYH3
ENSG00000136295	hsa-miR-130b-3p	TTYH3
ENSG00000136295	hsa-miR-3666	TTYH3
ENSG00000196411	hsa-miR-4295	EPHB4
ENSG00000196411	hsa-miR-130a-3p	EPHB4
ENSG00000196411	hsa-miR-454-3p	EPHB4
ENSG00000196411	hsa-miR-130b-3p	EPHB4
ENSG00000196411	hsa-miR-3666	EPHB4
ENSG00000198720	hsa-miR-138-5p	ANKRD13B
ENSG00000169710	hsa-miR-107	FASN
ENSG00000169710	hsa-miR-103a-3p	FASN
ENSG00000163637	hsa-miR-130a-3p	PRICKLE2
ENSG00000163637	hsa-miR-454-3p	PRICKLE2
ENSG00000163637	hsa-miR-130b-3p	PRICKLE2
ENSG00000170989	hsa-miR-4295	S1PR1
ENSG00000170989	hsa-miR-130a-3p	S1PR1
ENSG00000170989	hsa-miR-454-3p	S1PR1
ENSG00000170989	hsa-miR-130b-3p	S1PR1
ENSG00000170989	hsa-miR-3666	S1PR1
ENSG00000104081	hsa-miR-29c-3p	BMF
ENSG00000104081	hsa-miR-29b-3p	BMF
ENSG00000104081	hsa-miR-29a-3p	BMF
ENSG00000117385	hsa-miR-29c-3p	P3H1
ENSG00000117385	hsa-miR-29b-3p	P3H1
ENSG00000117385	hsa-miR-29a-3p	P3H1
ENSG00000105173	hsa-miR-107	CCNE1
ENSG00000105173	hsa-miR-138-5p	CCNE1
ENSG00000105173	hsa-miR-103a-3p	CCNE1
ENSG00000184371	hsa-miR-4295	CSF1
ENSG00000184371	hsa-miR-130a-3p	CSF1
ENSG00000184371	hsa-miR-454-3p	CSF1
ENSG00000184371	hsa-miR-130b-3p	CSF1
ENSG00000184371	hsa-miR-3666	CSF1
ENSG00000175592	hsa-miR-130a-3p	FOSL1
ENSG00000175592	hsa-miR-138-5p	FOSL1
ENSG00000175592	hsa-miR-454-3p	FOSL1
ENSG00000175592	hsa-miR-130b-3p	FOSL1
ENSG00000101945	hsa-miR-4295	SUV39H1
ENSG00000101945	hsa-miR-130a-3p	SUV39H1
ENSG00000101945	hsa-miR-454-3p	SUV39H1
ENSG00000101945	hsa-miR-130b-3p	SUV39H1
ENSG00000101945	hsa-miR-3666	SUV39H1
ENSG00000148516	hsa-miR-4295	ZEB1
ENSG00000148516	hsa-miR-130a-3p	ZEB1
ENSG00000148516	hsa-miR-454-3p	ZEB1
ENSG00000148516	hsa-miR-130b-3p	ZEB1
ENSG00000148516	hsa-miR-3666	ZEB1
ENSG00000115380	hsa-miR-29c-3p	EFEMP1
ENSG00000115380	hsa-miR-29b-3p	EFEMP1
ENSG00000013573	hsa-miR-138-5p	DDX11
ENSG00000137558	hsa-miR-29c-3p	PI15
ENSG00000137558	hsa-miR-29b-3p	PI15
ENSG00000137558	hsa-miR-29a-3p	PI15
ENSG00000103034	hsa-miR-107	NDRG4
ENSG00000103034	hsa-miR-103a-3p	NDRG4
ENSG00000179241	hsa-miR-130a-3p	LDLRAD3
ENSG00000179241	hsa-miR-454-3p	LDLRAD3
ENSG00000179241	hsa-miR-130b-3p	LDLRAD3
ENSG00000108821	hsa-miR-29c-3p	COL1A1
ENSG00000108821	hsa-miR-29b-3p	COL1A1
ENSG00000108821	hsa-miR-107	COL1A1
ENSG00000108821	hsa-miR-103a-3p	COL1A1
ENSG00000108821	hsa-miR-29a-3p	COL1A1
ENSG00000159167	hsa-miR-4295	STC1
ENSG00000159167	hsa-miR-130a-3p	STC1
ENSG00000159167	hsa-miR-454-3p	STC1
ENSG00000159167	hsa-miR-130b-3p	STC1
ENSG00000159167	hsa-miR-3666	STC1
ENSG00000134901	hsa-miR-29c-3p	KDELC1
ENSG00000134901	hsa-miR-29b-3p	KDELC1
ENSG00000134901	hsa-miR-29a-3p	KDELC1
ENSG00000117020	hsa-miR-29c-3p	AKT3
ENSG00000117020	hsa-miR-29b-3p	AKT3
ENSG00000117020	hsa-miR-107	AKT3
ENSG00000117020	hsa-miR-103a-3p	AKT3
ENSG00000117020	hsa-miR-29a-3p	AKT3
ENSG00000183741	hsa-miR-29c-3p	CBX6
ENSG00000183741	hsa-miR-29b-3p	CBX6
ENSG00000183741	hsa-miR-29a-3p	CBX6
ENSG00000134013	hsa-miR-29c-3p	LOXL2
ENSG00000134013	hsa-miR-29b-3p	LOXL2
ENSG00000134013	hsa-miR-29a-3p	LOXL2
ENSG00000124225	hsa-miR-4295	PMEPA1
ENSG00000124225	hsa-miR-130a-3p	PMEPA1
ENSG00000124225	hsa-miR-454-3p	PMEPA1
ENSG00000124225	hsa-miR-130b-3p	PMEPA1
ENSG00000124225	hsa-miR-3666	PMEPA1
ENSG00000135299	hsa-miR-107	ANKRD6
ENSG00000135299	hsa-miR-103a-3p	ANKRD6
ENSG00000157570	hsa-miR-130a-3p	TSPAN18
ENSG00000157570	hsa-miR-454-3p	TSPAN18
ENSG00000157570	hsa-miR-130b-3p	TSPAN18
ENSG00000167702	hsa-miR-29c-3p	KIFC2
ENSG00000167702	hsa-miR-29b-3p	KIFC2
ENSG00000167702	hsa-miR-29a-3p	KIFC2
ENSG00000177732	hsa-miR-29c-3p	SOX12
ENSG00000177732	hsa-miR-29b-3p	SOX12
ENSG00000177732	hsa-miR-370-3p	SOX12
ENSG00000177732	hsa-miR-29a-3p	SOX12
ENSG00000138411	hsa-miR-4295	HECW2
ENSG00000138411	hsa-miR-130a-3p	HECW2
ENSG00000138411	hsa-miR-454-3p	HECW2
ENSG00000138411	hsa-miR-130b-3p	HECW2
ENSG00000138411	hsa-miR-3666	HECW2
ENSG00000139926	hsa-miR-4295	FRMD6
ENSG00000139926	hsa-miR-130a-3p	FRMD6
ENSG00000139926	hsa-miR-454-3p	FRMD6
ENSG00000139926	hsa-miR-130b-3p	FRMD6
ENSG00000204262	hsa-miR-29c-3p	COL5A2
ENSG00000204262	hsa-miR-29b-3p	COL5A2
ENSG00000204262	hsa-miR-29a-3p	COL5A2
ENSG00000165757	hsa-miR-130a-3p	JCAD
ENSG00000165757	hsa-miR-454-3p	JCAD
ENSG00000165757	hsa-miR-130b-3p	JCAD
ENSG00000211448	hsa-miR-29c-3p	DIO2
ENSG00000211448	hsa-miR-29b-3p	DIO2
ENSG00000211448	hsa-miR-29a-3p	DIO2
ENSG00000113140	hsa-miR-29c-3p	SPARC
ENSG00000113140	hsa-miR-29b-3p	SPARC
ENSG00000113140	hsa-miR-29a-3p	SPARC
ENSG00000035862	hsa-miR-4295	TIMP2
ENSG00000035862	hsa-miR-130a-3p	TIMP2
ENSG00000035862	hsa-miR-454-3p	TIMP2
ENSG00000035862	hsa-miR-130b-3p	TIMP2
ENSG00000035862	hsa-miR-3666	TIMP2
ENSG00000225614	hsa-miR-29c-3p	ZNF469
ENSG00000225614	hsa-miR-29b-3p	ZNF469
ENSG00000225614	hsa-miR-29a-3p	ZNF469
ENSG00000154856	hsa-miR-130a-3p	APCDD1
ENSG00000154856	hsa-miR-454-3p	APCDD1
ENSG00000154856	hsa-miR-130b-3p	APCDD1
ENSG00000134323	hsa-miR-29c-3p	MYCN
ENSG00000134323	hsa-miR-29b-3p	MYCN
ENSG00000134323	hsa-miR-107	MYCN
ENSG00000134323	hsa-miR-103a-3p	MYCN
ENSG00000134323	hsa-miR-29a-3p	MYCN
